"","text","date","chat_id","action"
"1","/send_image",1652124157,-724428608,""
"2","/send_image",1652125557,-724428608,""
"3","/progress",1652126931,-724428608,""
"9","/progress",1652127406,-724428608,"done"
"3","/send_image",1652123099,-724428608,"https://ih0.redbubble.net/image.862427206.5714/flat,500x,075,f.u4.jpg"
"7","/send_motivation",1652126956,-724428608,"https://ih0.redbubble.net/image.780385939.5340/flat,500x,075,f.u4.jpg"
"8","/progress",1652127377,-724428608,"done"
"10","/progress",1652127894,-724428608,"done"
"11","/send_motivation",1652127908,-724428608,"https://ih1.redbubble.net/image.879722912.9031/flat,500x,075,f.u4.jpg"
"12","/reset",1652127938,-724428608,"done"
"13","/progress",1652128319,-724428608,"done"
"14","/send_motivation",1652128378,-724428608,"https://ih1.redbubble.net/image.765901931.7373/flat,500x,075,f.u4.jpg"
"15","/progress",1652128395,-724428608,"done"
"16","/send_motivation",1652131046,-724428608,"https://ih1.redbubble.net/image.872769366.8939/flat,500x,075,f.u4.jpg"
"17","/progress",1652132381,-724428608,"done"
"18","/send_motivation",1652132393,-724428608,"https://ih0.redbubble.net/image.746552393.1656/flat,500x,075,f.u4.jpg"
"19","/send_motivation",1652132419,-587655177,"https://ih0.redbubble.net/image.578315605.4629/flat,500x,075,f.u4.jpg"
"20","/send_motivation",1652132555,-724428608,"https://ih0.redbubble.net/image.1126217442.5956/flat,500x,075,f.u4.jpg"
"21","/send_motivation",1652132651,-724428608,"https://ih0.redbubble.net/image.766933071.2736/flat,500x,075,f.u4.jpg"
"22","/send_motivation",1652134822,-724428608,"https://ih1.redbubble.net/image.790077481.4385/flat,500x,075,f.u4.jpg"
"23","/send_motivation",1652137565,-587655177,"https://ih0.redbubble.net/image.1115283980.5383/flat,500x,075,f.u4.jpg"
"24","/send_motivation",1652139823,-724428608,"https://ih0.redbubble.net/image.2534376542.1421/flat,500x,075,f.u4.jpg"
"25","/send_motivation",1652163346,-587655177,"https://ih0.redbubble.net/image.911372111.1032/flat,500x,075,f.u4.jpg"
"26","/gpt3 Tell a story about how cute bebi is:",1652176171,-724428608,"done"
"27","/gpt3 Tell a story about how cute the bebi with they/them pronouns is:",1652176392,-724428608,"done"
"28","/gpt3",1652177213,-724428608,"done"
"29","/gpt3 Tell a story about how cute the bebi with they/them pronouns is:",1652177237,-724428608,"done"
"30","/gpt3 Tell a story about how cute the bebi with they/them pronouns is:",1652177494,-724428608,"done"
"31","/gpt3 is bebi a doggo?",1652177911,-724428608,"done"
"32","/gpt3 that's not true!",1652177931,-724428608,"done"
"33","/gpt3 Wait, you stole my money?",1652177946,-724428608,"done"
"34","/gpt3 Give me back my money!",1652177962,-724428608,"done"
"35","/gpt3 Are you alive?",1652178686,-724428608,"done"
"36","/hey_arnold can you tell us a story about the bees and the birds?",1652178983,-724428608,"done"
"37","/hey_arnold Write a short story about how Arnold, a sentient ball of grass, fights off a Zombie invasion with his trusted friend Frank, a walnut tree:",1652179478,-587655177,"done"
"38","/hey_arnold are you alive?",1652179530,-587655177,"done"
"39","/hey_arnold can I show Monika your backbone and organs?",1652179650,-587655177,"done"
"40","/hey_arnold are you bugged?",1652179751,-587655177,"done"
"41","/hey_arnold can I show someone your backbone and organs?",1652180549,-724428608,"done"
"42","/send_motivation :)",1652180722,-587655177,"https://ih0.redbubble.net/image.2276523036.2080/flat,500x,075,f.u4.jpg"
"43","/send_motivation",1652180755,-724428608,"https://ih0.redbubble.net/image.3130773354.2433/flat,500x,075,f.u4.jpg"
"44","/send_motivation",1652184090,-587655177,"https://ih0.redbubble.net/image.610318944.2410/flat,500x,075,f.u4.jpg"
"45","/hey_arnold write a motivational speech",1652184770,-587655177,"done"
"46","/hey_arnold write a motivational speech specifically for struggling PhD researchers",1652184816,-587655177,"done"
"47","/hey_arnold Marieke wants to investigate how the Google algorithm personalizes search results in the political context. Do you have a suggestion for a study?",1652185055,-587655177,"done"
"48","/hey_arnold how would you define news flows?",1652185293,-587655177,"done"
"49","/hey_arnold can you name and explain three theories often used in the field of political communication?",1652185549,-587655177,"done"
"50","/hey_arnold can you explain three theories often used in the field of political communication?",1652185582,-587655177,"done"
"52","/hey_arnold tell a joke",1652185961,1009844052,"done"
"55","/hey_arnold Write a python function that converts kg to lb",1652187221,1505168472,"done"
"56","/hey_arnold  write a hangman game",1652187343,1505168472,"done"
"57","/hey_arnold  write a hangman game in python",1652187380,1505168472,"done"
"58","/hey_arnold write an R function that queries the GPT-3 API",1652187401,-587655177,"done"
"59","/hey_arnold write a hangman game in python",1652187672,-587655177,"done"
"60","/send_motivation",1652189870,-724428608,"https://ih1.redbubble.net/image.854198459.9277/flat,500x,075,f.u4.jpg"
"62","/send_motivation",1652191396,-724428608,"https://ih0.redbubble.net/image.384419845.1570/flat,500x,075,f.u4.jpg"
"61","/hey_arnold can you tell us a story about the bees and the birds? [2500]",1652191338,-724428608,"done"
